School,Current URN,School establishment number,Measure,Measurement date,Academic year,Year group,Value,Unit,Source URL
Carlisle Infant School,102883,3182001,Pupils by curriculum year,2026-01,2025/26,Year 1,85,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Carlisle Infant School,102883,3182001,Pupils by curriculum year,2026-01,2025/26,Year 2,76,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Carlisle Infant School,102883,3182001,Pupils by curriculum year,2026-01,2025/26,Year 3,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Carlisle Infant School,102883,3182001,Pupils by curriculum year,2026-01,2025/26,Year 4,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Carlisle Infant School,102883,3182001,Pupils by curriculum year,2026-01,2025/26,Year 5,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Carlisle Infant School,102883,3182001,Pupils by curriculum year,2026-01,2025/26,Year 6,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Chase Bridge Primary School,102905,3182036,Pupils excluding nursery,2022-05,2021/22,,604,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Chase Bridge Primary School,102905,3182036,Reported capacity excluding nursery,2022-05,2021/22,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Chase Bridge Primary School,102905,3182036,Pupils excluding nursery,2023-05,2022/23,,619,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Chase Bridge Primary School,102905,3182036,Reported capacity excluding nursery,2023-05,2022/23,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Chase Bridge Primary School,102905,3182036,Pupils excluding nursery,2024-05,2023/24,,618,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Chase Bridge Primary School,102905,3182036,Reported capacity excluding nursery,2024-05,2023/24,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Chase Bridge Primary School,102905,3182036,Pupils excluding nursery,2025-05,2024/25,,620,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Chase Bridge Primary School,102905,3182036,Reported capacity excluding nursery,2025-05,2024/25,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Chase Bridge Primary School,102905,3182036,Pupils by curriculum year,2026-01,2025/26,Reception,85,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Chase Bridge Primary School,102905,3182036,Pupils by curriculum year,2026-01,2025/26,Year 1,89,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Chase Bridge Primary School,102905,3182036,Pupils by curriculum year,2026-01,2025/26,Year 2,89,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Chase Bridge Primary School,102905,3182036,Pupils by curriculum year,2026-01,2025/26,Year 3,86,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Chase Bridge Primary School,102905,3182036,Pupils by curriculum year,2026-01,2025/26,Year 4,90,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Chase Bridge Primary School,102905,3182036,Pupils by curriculum year,2026-01,2025/26,Year 5,88,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Chase Bridge Primary School,102905,3182036,Pupils by curriculum year,2026-01,2025/26,Year 6,89,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Collis Primary School,102903,3182032,Pupils excluding nursery,2022-05,2021/22,,683,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
